time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,pA_Pa,pB_Pa,spool_u
0.0,stage1,True,0.0,0.05,0.05,10000000.0,5000000.0,0.0
0.01,stage1,True,0.0,0.05,0.10833333333333331,9777777.777777778,5228571.428571428,0.0
0.02,stage1,True,0.0,0.05,0.10281746031746034,100000.0,21000000.0,0.0
0.03,stage1,True,0.0,0.05,-0.06965806878306877,13396861.995276017,5026321.271197882,0.0
0.04,stage1,True,0.0,0.05,0.2699613020402206,21000000.0,100000.0,0.0
0.05,stage1,True,0.0,0.05,-0.060938729477614195,100000.0,21000000.0,0.0
0.06,stage1,True,0.0,0.05,0.11688417662345185,21000000.0,100000.0,0.0
0.07,stage1,True,0.0,0.05,0.16246003600856573,100000.0,21000000.0,0.0
0.08,stage1,True,0.0,0.05,-0.15190525187787884,100000.0,21000000.0,0.0
0.09,stage1,True,0.0,0.05,0.1651274671667523,21000000.0,100000.0,0.0
0.1,stage1,True,0.0,0.05,0.025890482605357784,100000.0,21000000.0,0.0
0.11,stage1,True,0.0,0.05,-0.18083543020165735,21000000.0,100000.0,0.0
0.12,stage1,True,0.0,0.05,0.4868513880730321,21000000.0,100000.0,0.0
0.13,stage1,True,0.0,0.05,-0.4515827057547077,100000.0,21000000.0,0.0
0.14,stage1,True,0.0,0.05,0.832964040873946,21000000.0,100000.0,0.0
0.15,stage1,True,0.0,0.05,-1.1449694205541103,100000.0,21000000.0,0.0
0.16,stage1,True,0.0,0.05,2.0748463764404588,21000000.0,100000.0,0.0
0.17,stage1,True,0.0,0.05,-3.424342765372909,100000.0,21000000.0,0.0
0.18,stage1,True,0.0,0.05,6.235370366608581,21000000.0,100000.0,0.0
0.19,stage1,True,0.0,0.05,-11.027948426725224,100000.0,21000000.0,0.0
0.2,stage1,True,0.0,0.05,20.12753804615056,21000000.0,100000.0,0.0
0.21,stage1,True,0.0,0.05,-36.411223552090235,100000.0,21000000.0,0.0
0.22,stage1,True,0.0,0.05,66.50630356674107,21000000.0,100000.0,0.0
0.23,stage1,True,0.0,0.05,-121.15193105028455,100000.0,21000000.0,0.0
0.24,stage1,True,0.0,0.05,221.33971332962386,21000000.0,100000.0,0.0
0.25,stage1,True,0.0,0.05,-404.0547921713491,100000.0,21000000.0,0.0
0.26,stage1,True,0.0,0.05,738.243823906631,21000000.0,100000.0,0.0
0.27,stage1,True,0.0,0.05,-1348.5127613295767,100000.0,21000000.0,0.0
0.28,stage1,True,0.0,0.05,2463.9040298135474,21000000.0,100000.0,0.0
0.29,stage1,True,0.0,0.05,-4501.541529899623,100000.0,21000000.0,0.0
0.3,stage1,True,0.0,0.05,8224.939939718013,21000000.0,100000.0,0.0
0.31,stage1,True,0.0,0.05,-15027.780645358613,100000.0,21000000.0,0.0
0.32,stage1,True,0.0,0.05,27457.888952379948,21000000.0,100000.0,0.0
0.33,stage1,True,0.0,0.05,-50169.137749890695,100000.0,21000000.0,0.0
0.34,stage1,True,0.0,0.05,91666.18994329705,21000000.0,100000.0,0.0
0.35,stage1,True,0.0,0.05,-167486.91531541903,100000.0,21000000.0,0.0
0.36,stage1,True,0.0,0.05,306022.600570985,21000000.0,100000.0,0.0
0.37,stage1,True,0.0,0.05,-559146.830212128,100000.0,21000000.0,0.0
0.38,stage1,True,0.0,0.05,1021641.4546454231,21000000.0,100000.0,0.0
0.39,stage1,True,0.0,0.05,-1866685.1429901174,100000.0,21000000.0,0.0
0.4,stage1,True,0.0,0.05,3410701.538303411,21000000.0,100000.0,0.0
0.41,stage1,True,0.0,0.05,-6231840.66275564,100000.0,21000000.0,0.0
0.42,stage1,True,0.0,0.05,11386466.92071479,21000000.0,100000.0,0.0
0.43,stage1,True,0.0,0.05,-20804708.26099608,100000.0,21000000.0,0.0
0.44,stage1,True,0.0,0.05,38013186.72169733,21000000.0,100000.0,0.0
0.45,stage1,True,0.0,0.05,-69455545.34440182,100000.0,21000000.0,0.0
0.46,stage1,True,0.0,0.05,126905245.77392595,21000000.0,100000.0,0.0
0.47,stage1,True,0.0,0.05,-231874090.14760864,100000.0,21000000.0,0.0
0.48,stage1,True,0.0,0.05,423667228.5343095,21000000.0,100000.0,0.0
0.49,stage1,True,0.0,0.05,-774100807.6605636,100000.0,21000000.0,0.0
0.5,stage1,True,0.0,0.05,1414393232.0812855,21000000.0,100000.0,0.0
0.51,stage1,True,0.0,0.05,-2584299350.8201685,100000.0,21000000.0,0.0
